#Table: J/MNRAS/434/3236/table2.dat (http://cdsarc.cds.unistra.fr)
-------------------------------------------------------------------------
                     |     |e_p|     |e_p|      |    e|      |    e|
     RAdeg      DEdeg| pmRA|mRA| pmDE|mDE|  Jmag|_Jmag|  Kmag|_Kmag| Mass
---------------------|-----|---|-----|---|------|-----|------|-----|-----
126.423399 +19.511820|-33.0|4.2|-14.0|4.2|15.066|0.039|14.168|0.048|0.183
126.572703 +19.726598|-36.2|4.2|-13.7|4.2|13.896|0.025|12.981|0.024|0.327
126.597027 +19.551072|-35.6|4.2|-22.8|4.2|14.643|0.032|13.696|0.034|0.225
126.770892 +18.753092|-31.5|4.2|-09.2|4.2|13.206|0.024|12.373|0.020|0.436
126.798522 +19.615030|-30.5|5.6|-16.8|5.7|13.392|0.026|12.535|0.024|0.403
126.800177 +19.495381|-22.9|5.6|-16.5|5.6|14.760|0.032|13.799|0.034|0.212
126.877706 +20.218312|-43.9|4.2|-13.1|4.2|11.677|0.022|10.899|0.021|0.717
126.956497 +18.575924|-27.7|4.2|-17.4|4.2|14.356|0.032|13.473|0.033|0.261
126.960836 +20.243418|-42.4|4.2|-13.1|4.2|11.870|0.020|11.074|0.017|0.683
126.962333 +19.805753|-38.1|4.2|-17.2|4.2|12.662|0.022|11.784|0.021|0.538
126.995181 +19.131722|-39.5|5.7|-00.3|5.7|15.136|0.036|14.256|0.056|0.177
126.997546 +18.023830|-26.6|4.2|-14.2|4.2|15.205|0.046|14.227|0.052|0.172
127.004127 +19.904791|-36.7|4.2|-17.9|4.2|11.070|0.022|10.490|0.017|0.829
127.040296 +19.268375|-25.5|4.2|-10.0|4.2|11.777|0.021|10.946|0.023|0.700
127.066183 +18.207773|-37.2|4.2|-22.8|4.2|14.453|0.029|13.586|0.034|0.248
127.084152 +19.258524|-34.3|4.2|-17.7|4.2|14.275|0.029|13.381|0.031|0.272
127.087265 +19.844059|-35.0|1.3|-12.9|1.3|09.780|0.022|09.427|0.018|1.117
127.112207 +20.104762|-40.7|4.2|-14.3|4.2|14.236|0.028|13.380|0.028|0.277
127.123739 +20.259002|-33.1|4.2|-04.1|4.2|11.931|0.022|11.212|0.018|0.671
127.171744 +20.315619|-32.6|4.2|-22.9|4.2|15.124|0.041|14.220|0.052|0.178
127.202679 +18.976651|-35.6|5.6|-15.0|5.6|14.725|0.034|13.747|0.038|0.216
127.208017 +19.988988|-37.5|4.2|-17.1|4.2|12.336|0.021|11.457|0.021|0.601
127.209482 +21.128082|-33.5|4.2|-18.1|4.2|14.060|0.030|13.191|0.029|0.303
127.313603 +17.891717|-28.4|4.2|-17.3|4.2|13.427|0.025|12.592|0.029|0.397
127.324181 +17.703191|-39.0|4.2|-19.6|4.2|12.991|0.023|12.100|0.023|0.476
127.328599 +20.718021|-41.9|4.1|-17.3|4.1|13.285|0.023|12.403|0.022|0.422
127.335769 +18.179417|-36.4|4.1|-16.7|4.1|13.894|0.026|13.044|0.031|0.327
127.364042 +17.672257|-26.0|5.7|-22.1|5.7|15.110|0.048|14.187|0.071|0.179
127.366526 +21.143971|-35.8|4.1|-16.1|4.1|12.656|0.022|11.804|0.017|0.540
127.487773 +18.566689|-39.2|4.1|-16.5|4.1|12.151|0.022|11.297|0.020|0.632
127.494563 +19.483060|-38.5|5.6|-12.5|5.6|15.494|0.048|14.611|0.077|0.150
127.511060 +19.936424|-26.5|5.6|-18.9|5.6|15.262|0.047|14.260|0.059|0.167
127.524981 +18.279533|-39.2|5.6|-14.6|5.6|15.194|0.044|14.300|0.063|0.173
127.558776 +18.422206|-39.2|4.1|-21.5|4.1|13.715|0.026|12.805|0.028|0.355
127.652744 +18.377236|-39.1|5.5|-20.7|5.5|14.318|0.031|13.343|0.032|0.266
127.661031 +17.472067|-41.8|4.2|-15.6|4.2|12.683|0.021|11.825|0.021|0.534
127.677439 +19.375221|-28.2|5.5|-22.3|5.5|14.636|0.036|13.770|0.041|0.226
127.677908 +22.048268|-29.1|4.1|-17.9|4.1|14.926|0.048|13.887|0.051|0.195
127.702134 +21.612577|-38.6|5.6|-18.5|5.6|14.981|0.037|14.000|0.053|0.190
127.703644 +19.955951|-21.4|5.5|-13.3|5.5|14.938|0.041|13.949|0.049|0.194
127.712604 +19.352458|-38.9|4.1|-13.9|4.1|12.022|0.023|11.193|0.021|0.655
127.714184 +18.897646|-40.3|4.1|-17.5|4.1|14.263|0.030|13.390|0.030|0.273
127.732475 +17.139519|-39.8|4.2|-15.0|4.2|13.374|0.024|12.463|0.024|0.406
127.750856 +19.404458|-43.1|5.5|-18.9|5.5|14.941|0.047|13.994|0.051|0.194
127.775149 +18.130001|-42.7|4.1|-12.0|4.1|14.840|0.039|13.904|0.050|0.203
127.777644 +21.229529|-31.6|5.6|-10.6|5.6|13.945|0.031|13.022|0.030|0.320
127.786891 +19.938562|-26.5|5.5|-12.8|5.5|14.762|0.037|13.832|0.041|0.212
127.793524 +21.589564|-38.1|4.1|-13.2|4.1|11.917|0.022|11.206|0.020|0.674
127.804005 +18.153651|-35.4|1.1|-11.9|0.8|09.016|0.035|08.744|0.020|1.333
127.804613 +20.900120|-38.0|4.1|-11.7|4.1|13.693|0.023|12.798|0.027|0.358
127.808304 +21.137491|-32.3|4.1|-19.6|4.1|14.914|0.037|14.087|0.050|0.196
127.862068 +18.682338|-38.0|5.5|-17.3|5.5|14.250|0.031|13.323|0.030|0.275
127.886739 +21.024441|-39.8|4.1|-14.3|4.1|11.885|0.021|11.118|0.020|0.680
127.899781 +20.405350|-25.8|5.6|-17.3|5.6|15.073|0.043|14.178|0.056|0.182
127.918526 +21.273492|-34.1|4.1|-21.4|4.1|14.418|0.031|13.588|0.030|0.253
127.920410 +18.495276|-38.6|4.1|-18.8|4.1|13.973|0.027|13.113|0.028|0.315
127.929033 +18.485134|-40.8|4.1|-19.4|4.1|14.247|0.030|13.372|0.035|0.276
127.951528 +19.954494|-30.5|4.1|-09.6|4.1|15.190|0.055|14.308|0.069|0.173
128.007845 +19.979768|-37.5|4.1|-17.7|4.1|14.105|0.031|13.210|0.028|0.296
128.011367 +20.772423|-38.6|4.1|-11.9|4.1|14.154|0.030|13.254|0.035|0.289
128.030555 +19.606695|-36.6|4.2|-09.9|4.2|15.246|0.045|14.440|0.072|0.168
128.033136 +18.740761|-29.2|4.1|-15.6|4.1|13.507|0.023|12.570|0.023|0.385
128.044481 +21.341574|-35.8|4.1|-09.8|4.1|11.766|0.022|10.959|0.018|0.702
128.074431 +19.547085|-38.8|4.1|-15.6|4.1|13.875|0.025|13.022|0.028|0.330
128.078714 +19.052412|-38.2|4.1|-16.3|4.1|13.671|0.025|12.826|0.032|0.361
128.097816 +20.995799|-38.8|4.1|-11.9|4.1|11.043|0.022|10.470|0.018|0.835
128.135176 +20.844733|-39.6|4.1|-16.0|4.1|13.601|0.022|12.715|0.023|0.371
